"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jamaree Bouyea","Por","G","24.6","6","9.5","21.4","27.6","0","0","13","0.385","8","0","0.238","0.238","1.7","1.7","1.3","0","0","1.3","3.3","3","4.7","6.5","54.9","118"
"","Josh Minott","Min","F","21.2","15","3.1","23","5.2","12","0.833","13","0.615","5","0","0.444","0.558","1.7","0.2","0.2","0.1","0.2","0.1","1.9","1.9","2.1","5.3","0","0"
"","Garrett Temple","Tor","G-F","37.7","11","4.1","15.8","13","4","1","8","0.5","5","0.4","0.538","0.61","1.6","0.7","0.5","0.2","0","0.2","2.4","2.2","2.9","8","127.7","113.2"
"","Kessler Edwards","Sac","F","23.5","29","5","13.1","2.3","4","0.75","16","0.5","26","0.346","0.512","0.526","1.6","0.8","0.3","0.1","0.1","0","2.3","1.9","2.6","5.8","117.5","113.6"
"","Justin Minaya","Por","F","24.8","11","8.4","9.8","10.4","6","0.5","7","0.429","10","0.3","0.441","0.458","1.6","1","0.4","0.3","0.4","0.2","2.6","2","3","4.1","104.2","114.5"
"","Seth Lundy","Atl","G","23.8","9","5.8","15.6","5.5","4","0.75","4","0.25","13","0.231","0.324","0.373","1.6","0.8","0","0","0","0.1","2.3","1.6","2.3","0","82.6","113.8"
"","Nathan Mensah","Cha","C","25.8","18","14.1","7","35.8","12","0.75","23","0.435","0","0","0.435","0.513","1.6","3.2","0.4","0.2","0.6","0.7","4.8","2.1","5.2","3.6","102.5","101.9"
"","Filip Petrusev","Sac","C","23.8","2","3.3","18.5","0","2","0.5","2","0.5","0","0","0.5","0.521","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Jericho Sims","Nyk","C","25.3","21","8.1","6.5","16.5","5","0.6","20","0.7","0","0","0.7","0.698","1.5","1.8","0.2","0.1","0.3","0.2","3.3","1.7","3.5","4","131.4","103.9"
"","TyTy Washington Jr.","Mil","G","22.2","2","2.8","37.7","40","0","0","1","0","2","0.5","0.5","0.5","1.5","0.5","0","0.5","0","1","2","1.5","2","0","0","0"
"","Dariq Whitehead","Bro","F","19.5","2","12","10.5","0","2","0.5","2","0.5","3","0","0.2","0.255","1.5","2","1.5","0","0.5","0","3.5","3","5","5.5","84.4","122.1"
"","Taj Gibson","Nyk","F","38.6","10","9.7","7","12.5","0","0","10","0.7","4","0","0.5","0.5","1.4","1.8","0.5","0.1","0.6","0.2","3.2","1.9","3.7","4.5","115.7","94.7"
"","Chris Livingston","Mil","F","20.3","12","4.8","11.6","19.4","2","1","11","0.545","1","1","0.625","0.66","1.4","1","0.3","0.2","0","0.3","2.4","1.8","2.8","6.2","118.8","110"
"","R.J. Hampton","Mia","G","23","8","9.5","10.4","17.4","2","0.5","6","0.5","8","0.125","0.321","0.336","1.3","0.8","1","0","0","0.4","2","2.3","3","4.3","84.8","110.1"
"","Daishen Nix","Min","G","21.9","6","3.5","18.4","0","2","0","3","0.333","5","0.4","0.5","0.45","1.3","0.2","0","0.2","0","0","1.5","1.3","1.5","0","0","0"
"","Brice Sensabaugh","Uta","F","20.2","4","2.9","21.6","0","0","0","4","0.25","2","0.5","0.417","0.417","1.3","0.8","0.5","0","0","0","2","1.8","2.5","11.1","0","0"
"","P.J. Tucker","Lac","F","38.7","12","14.4","4.4","12.2","3","1","3","0.333","11","0.273","0.393","0.457","1.2","2.4","0.7","0.5","0.1","0.2","3.6","1.8","4.3","3.5","134.4","103.5"
"","Braxton Key","Den","F","26.9","13","3.4","16.9","6.5","5","0.8","10","0.4","4","0.25","0.393","0.463","1.2","0.8","0.6","0.2","0","0.1","1.9","1.8","2.5","9.8","0","0"
"","Jay Huff","Den","C","26.4","6","2.9","17.8","14.3","0","0","2","1","4","0.25","0.583","0.583","1.2","0.2","0.2","0","0","0.2","1.3","1.3","1.5","5","0","0"
