"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Russell Westbrook","Lac","G","35.2","42","23.1","24.4","18.6","98","0.653","309","0.518","98","0.306","0.504","0.527","11.3","5.9","4.7","1.1","0.4","2.2","17.2","16","21.9","11.8","109.6","107"
"","Moritz Wagner","Orl","F-C","26.8","42","19","21.9","14.1","119","0.79","234","0.675","71","0.31","0.626","0.666","11.3","4.5","1.3","0.5","0.3","1.2","15.9","12.6","17.2","8.5","125.9","102.9"
"","Corey Kispert","Was","F","24.9","43","21.6","20","10.9","80","0.775","139","0.662","221","0.362","0.589","0.615","11.3","2.2","1.4","0.3","0.2","1","13.5","12.7","14.9","6","113.2","120.3"
"","Jeremy Sochan","San","G","20.7","44","29.4","18.3","16.2","88","0.784","319","0.458","121","0.372","0.485","0.518","11.3","5.7","4","0.7","0.4","1.9","17","15.3","20.9","8.7","105.3","114.9"
"","Reggie Jackson","Den","G","33.8","46","23.2","21.8","13.1","56","0.75","278","0.518","165","0.376","0.535","0.552","11.2","2","4.1","0.6","0.2","1.5","13.2","15.3","17.3","7.8","112","112.3"
"","Clint Capela","Atl","C","29.7","42","25.9","16.4","9.7","120","0.658","344","0.567","0","0","0.567","0.591","11.2","10.4","1","0.6","1.6","0.9","21.5","12.1","22.5","7.5","128.3","111.5"
"","Obi Toppin","Ind","F","25.9","45","23.1","16","9.1","63","0.778","195","0.713","146","0.404","0.667","0.683","11.2","3.9","1.5","0.5","0.5","0.8","15.1","12.7","16.6","7","131.4","116"
"","Rui Hachimura","Lal","F","26","32","23","19.5","7.9","65","0.769","186","0.538","94","0.372","0.545","0.575","11.1","3.4","1.1","0.8","0.3","0.8","14.5","12.2","15.7","6","112.7","112.2"
"","Luguentz Dort","Okc","F","24.8","42","28.6","15.2","10.7","89","0.809","147","0.517","196","0.408","0.571","0.607","11","3.9","1.3","0.9","0.8","1","15","12.4","16.3","5.3","119.7","107.9"
"","Jaden McDaniels","Min","F","23.3","35","28.7","15.8","12.1","32","0.75","190","0.6","115","0.383","0.59","0.602","11","2.7","1.3","0.9","0.5","1.2","13.6","12.2","14.9","4.7","110.8","103.3"
"","Isaiah Stewart","Det","F","22.7","33","30.7","15.3","15.9","65","0.738","160","0.538","125","0.384","0.554","0.58","11","7","1.8","0.4","0.8","1.6","18","12.8","19.8","6.7","110.5","116.3"
"","Talen Horton-Tucker","Uta","G","23.2","31","21.5","24","14.3","65","0.8","193","0.456","113","0.327","0.469","0.507","10.9","2.5","4.1","1.1","0.4","1.6","13.5","15.1","17.6","9","107.1","111.5"
"","Herbert Jones","Nor","G","25.3","41","28.7","14.9","13","90","0.856","182","0.566","139","0.396","0.578","0.621","10.9","3.7","2.5","1.2","1","1.2","14.6","13.5","17.1","6.5","123.8","107.6"
"","Jordan Hawkins","Nor","G","21.7","39","21.8","20.2","8.1","67","0.836","119","0.454","221","0.394","0.543","0.575","10.9","2.8","1.4","0.4","0.1","0.8","13.7","12.3","15","6.4","115.7","112"
"","Mike Conley","Min","G","36.3","42","29.2","14.7","11.5","52","0.923","122","0.459","223","0.439","0.588","0.617","10.8","2.7","6.4","1","0.2","1.1","13.5","17.2","19.9","7.8","132.8","108.3"
"","Wendell Carter Jr.","Orl","C","24.8","18","24.8","17.1","13.2","43","0.744","92","0.543","46","0.435","0.58","0.612","10.7","6.7","1.6","0.5","0.5","1.2","17.3","12.3","18.9","7.8","120.7","106"
"","Keyonte George","Uta","G","20.2","40","24.5","21.1","18.4","122","0.811","160","0.413","203","0.325","0.455","0.515","10.7","2.8","4.4","0.5","0.1","2.1","13.5","15.2","18","8.3","106.1","118.9"
"","Jakob Poeltl","Tor","C","28.3","36","26.5","15.2","18.7","79","0.532","248","0.685","0","0","0.685","0.675","10.6","8.3","2.5","0.7","1.4","1.6","18.9","13.1","21.4","9.1","125.2","106.6"
"","Caleb Martin","Mia","F","28.3","28","26.6","18.3","12.2","51","0.765","161","0.472","91","0.385","0.51","0.539","10.6","4.7","2.3","0.8","0.3","1.3","15.3","12.8","17.5","7.3","108.7","109.5"
"","Daniel Gafford","Was","C","25.3","39","26.2","13.7","14.7","101","0.723","244","0.697","0","0","0.697","0.716","10.6","7.5","1.6","0.9","2.2","1.1","18.1","12.2","19.7","7.7","137.1","109.8"
"","Dario Saric","Gol","F-C","29.8","42","20.7","19.4","14.4","80","0.85","153","0.569","161","0.416","0.597","0.634","10.5","5.6","2.5","0.6","0.2","1.3","16.1","13","18.6","10.2","125.4","108.6"
"","Kevin Huerter","Sac","G","25.4","41","24.1","17.4","6.7","36","0.778","139","0.568","225","0.36","0.551","0.565","10.5","3.8","2.6","0.7","0.3","0.6","14.2","13","16.8","7.8","118.7","110.4"
"","Luke Kennard","Mem","G","27.6","20","24.4","16.3","9.6","19","0.895","38","0.447","122","0.426","0.594","0.615","10.4","3.1","3","0.5","0.1","0.9","13.5","13.4","16.5","7.5","123.4","115.1"
"","Derrick Jones Jr.","Dal","F","26.9","42","26","15.6","10.9","76","0.737","159","0.629","169","0.349","0.575","0.599","10.3","3.7","1","0.8","0.9","1","14","11.3","15","5.2","117.2","113.9"
"","Santi Aldama","Mem","F-C","23","33","23.2","20","11.1","55","0.618","146","0.534","150","0.333","0.517","0.531","10.3","5.5","1.8","0.7","0.8","1.1","15.8","12.1","17.6","8.1","105.7","109"
"","Marvin Bagley III","Det","F","24.9","26","18.4","20.8","13.8","61","0.82","175","0.606","6","0.167","0.594","0.638","10.2","4.5","1","0.2","0.5","1.1","14.7","11.2","15.8","7.8","121.5","116.7"
"","Jalen Smith","Ind","F-C","23.9","31","17.5","18.5","12","58","0.707","122","0.713","69","0.493","0.723","0.732","10.2","5.4","1.1","0.2","0.5","0.8","15.6","11.3","16.6","9","135.7","108.6"
"","Kentavious Caldwell-Pope","Den","G","30.9","44","32.3","12.9","11.5","70","0.9","179","0.508","167","0.395","0.549","0.588","10.1","2.3","2.4","1.4","0.5","1","12.4","12.4","14.8","4.7","117.1","113.8"
"","Alex Caruso","Chi","G","29.9","39","25.9","15.6","15.3","58","0.776","112","0.607","171","0.415","0.617","0.639","10.1","3.5","2.7","1.3","1","1.3","13.6","12.8","16.3","7.1","122","109.1"
"","Patrick Williams","Chi","F","22.4","43","27.3","16.6","13.7","66","0.788","211","0.474","148","0.399","0.525","0.553","10","3.9","1.5","0.9","0.8","1.3","13.8","11.5","15.4","5.7","107.3","112.3"
"","Bruce Brown","Tor","G-F","27.4","3","22.7","17.5","14.6","2","1","16","0.688","7","0.286","0.609","0.628","10","4.3","1","0.7","0.3","1.3","14.3","11","15.3","6.2","110.7","105.8"
"","Taurean Prince","Lal","F","29.8","43","30.7","13.3","9.7","39","0.744","117","0.504","237","0.392","0.561","0.574","9.9","2.9","1.8","0.9","0.5","0.9","12.8","11.7","14.6","4.9","109.3","111.8"
"","Tari Eason","Hou","F","22.7","22","21.8","20.1","9.6","33","0.636","139","0.504","50","0.36","0.513","0.528","9.8","7","1.2","1.4","0.9","0.9","16.7","11","18","8","110.3","100.7"
"","Josh Richardson","Mia","G","30.4","36","25.9","16.2","10.6","48","0.938","134","0.545","153","0.333","0.521","0.558","9.6","2.7","2.5","0.6","0.4","0.9","12.2","12.1","14.8","6.2","113.1","112"
"","Duop Reath","Por","C","27.6","32","18.3","20.2","9.9","44","0.795","116","0.586","119","0.378","0.577","0.602","9.6","4.1","1.3","0.5","0.5","0.8","13.6","10.8","14.9","8.1","121.2","107.3"
"","Kevin Love","Mia","F","35.4","34","18.3","21","10.4","84","0.774","74","0.649","159","0.34","0.554","0.598","9.5","6.5","2.4","0.4","0.1","0.8","16","11.9","18.4","11.6","124.5","102.7"
"","Georges Niang","Cle","F","30.6","42","22.2","17.6","9","30","0.833","124","0.556","210","0.371","0.557","0.572","9.5","3.8","1.2","0.3","0.2","0.8","13.3","10.7","14.5","6.3","111.8","104.4"
"","Cam Whitmore","Hou","F","19.5","20","15.5","24.7","8.7","35","0.6","80","0.563","67","0.388","0.571","0.582","9.5","3.2","0.3","0.7","0.3","0.7","12.7","9.8","13","5.4","108.7","105.6"
"","Draymond Green","Gol","F","33.9","18","25.3","16.4","26.8","40","0.8","70","0.529","47","0.447","0.585","0.628","9.4","5.5","5.8","0.7","0.7","2.4","14.9","15.2","20.7","10.6","121","107.9"
"","Tre Jones","San","G","24","39","25.2","15.9","15.5","59","0.898","207","0.594","87","0.264","0.536","0.575","9.4","3.2","5.5","0.9","0.1","1.4","12.6","14.9","18.1","8.7","120.3","118.8"
"","Matt Ryan","Nor","F","26.8","13","22.9","15.1","16.1","14","0.929","15","0.4","68","0.471","0.651","0.679","9.3","2.3","1.1","0.4","0.1","1.2","11.6","10.4","12.7","5","117.9","111.1"
"","Dante Exum","Dal","G","28.5","31","19.5","17","11.6","42","0.738","134","0.627","63","0.46","0.647","0.664","9.2","2.9","2.8","0.6","0.2","0.8","12.1","12.1","14.9","8.6","132.2","112.5"
"","Onyeka Okongwu","Atl","F-C","23.1","43","24.8","13.2","12.9","90","0.8","215","0.656","49","0.286","0.614","0.652","9.2","6.8","1.4","0.4","1","0.9","16","10.6","17.4","7.2","132.1","110.7"
"","Brandin Podziemski","Gol","G","20.9","36","24.5","16.4","13.7","36","0.611","165","0.515","118","0.39","0.544","0.552","9.2","5.4","3.2","0.9","0.1","1.3","14.5","12.4","17.7","8.8","116.2","112.6"
"","Nick Richards","Cha","C","26.2","33","24.4","12.9","14.1","80","0.763","176","0.676","0","0","0.676","0.708","9.1","7.7","0.8","0.3","1.2","0.9","16.7","9.9","17.5","6.3","136.4","111.6"
"","Simone Fontecchio","Uta","F","28.1","44","22.9","15.6","13","38","0.789","108","0.565","206","0.403","0.591","0.606","9.1","3.4","1.4","0.6","0.4","1.1","12.5","10.5","14","6.1","115.9","114.8"
"","Isaiah Joe","Okc","G","24.6","44","19.2","17.1","7.9","36","0.833","73","0.562","219","0.429","0.623","0.64","9","2.4","1.2","0.6","0.3","0.6","11.4","10.1","12.5","6.2","123","112.2"
"","Ayo Dosunmu","Chi","G","24","44","23.4","16","11.3","54","0.815","187","0.561","127","0.37","0.559","0.585","9","2.5","2","0.8","0.4","0.9","11.5","11","13.5","6.1","117","112.4"
"","Scotty Pippen Jr.","Mem","G","23.2","2","14.8","20.7","24.1","5","1","8","0.625","1","1","0.722","0.804","9","3.5","3.5","0","0","1.5","12.5","12.5","16","13","141.1","114.2"
"","Chris Paul","Gol","G","38.7","32","27.6","14.4","13.4","42","0.833","126","0.484","119","0.361","0.512","0.543","8.9","3.8","7.2","1.1","0.1","1.2","12.7","16.1","19.9","9.1","127.9","114.4"
"","Dorian Finney-Smith","Bro","F","30.7","41","28.8","13.2","8.6","16","0.813","106","0.462","222","0.378","0.534","0.542","8.9","4.8","1.4","0.7","0.6","0.8","13.6","10.2","15","5.4","114.4","113.5"
"","Sam Merrill","Cle","G","27.7","27","16.6","19.5","5.1","11","0.909","25","0.4","162","0.432","0.615","0.626","8.9","2.2","1.7","0.3","0","0.4","11.1","10.6","12.8","7.8","130","109.1"
"","Isaac Okoro","Cle","F","23","33","26.1","13.6","11.7","72","0.694","130","0.585","82","0.354","0.564","0.593","8.8","3.3","2","0.8","0.4","0.8","12.1","10.7","14.1","5.9","122.5","107.8"
"","Dereck Lively II","Dal","C","20","33","25.3","12","17.6","44","0.568","176","0.75","2","0","0.742","0.732","8.8","7.7","1.3","0.6","1.4","1.2","16.4","10","17.7","7","136.6","106.9"
"","Moses Moody","Gol","G","21.7","34","17.9","18.7","9.7","57","0.789","116","0.595","106","0.358","0.568","0.601","8.7","3.1","0.8","0.7","0.3","0.7","11.8","9.6","12.6","6.2","120.5","113.8"
"","Andrew Nembhard","Ind","G-F","24","31","21.1","19.4","21.7","26","0.769","166","0.554","64","0.328","0.537","0.553","8.6","1.7","4.4","0.9","0.1","2.1","10.3","13","14.7","7.6","106.5","115.9"
"","Jabari Walker","Por","F","21.5","40","20.9","16.9","12.7","97","0.773","175","0.566","79","0.304","0.531","0.581","8.6","6.2","0.9","0.6","0.4","0.9","14.8","9.5","15.6","7","117.5","108.1"
"","Danilo Gallinari","Det","F","35.5","2","12.9","13.9","0","8","0.875","3","0.667","2","1","1","0.998","8.5","2","2.5","0","0","0","10.5","11","13","10.8","210.6","118"
"","Derrick Rose","Mem","G","35.3","17","17.9","22.4","14.6","21","0.905","95","0.474","33","0.333","0.48","0.517","8.4","1.8","3.4","0.4","0.1","1.3","10.1","11.7","13.5","8.3","106.5","113.8"
"","Malaki Branham","San","F","20.7","42","21","18.7","13.1","27","0.926","200","0.515","130","0.308","0.494","0.513","8.4","2","2.3","0.4","0.1","1.2","10.3","10.6","12.6","6.4","99.4","119.3"
"","Markelle Fultz","Orl","G","25.7","12","24.4","17.3","14.1","11","0.455","94","0.5","3","0","0.485","0.486","8.3","3","3.7","1.2","0.4","1.3","11.3","11.9","14.9","7.4","105.2","108.9"
"","Walker Kessler","Uta","C","22.5","38","23.8","13","14.8","60","0.483","203","0.68","16","0.25","0.658","0.646","8.3","7.5","0.8","0.5","2.7","1","15.8","9.1","16.6","6.2","122.3","109.8"
"","Ausar Thompson","Det","F","21","44","23.8","16.8","15.4","82","0.634","251","0.558","72","0.153","0.485","0.508","8.3","6.7","2","0.9","0.9","1.3","15","10.3","17","8.1","105.5","109.3"
"","Kyle Lowry","Mia","G","37.8","37","28","13.3","17.7","42","0.833","81","0.506","161","0.385","0.554","0.582","8.2","3.5","4","1.1","0.4","1.4","11.6","12.2","15.6","6.9","115.8","108"
"","Kelly Olynyk","Uta","F-C","32.8","44","20.6","15.7","23.8","74","0.851","159","0.629","78","0.423","0.631","0.671","8.2","5","4.3","0.8","0.3","1.7","13.3","12.5","17.5","10.9","127","105.3"
"","T.J. McConnell","Ind","G","31.8","37","17","21.5","18.3","44","0.75","233","0.562","17","0.118","0.536","0.559","8.1","2.6","5.4","1.1","0.1","1.5","10.7","13.5","16.1","11.4","118.3","116.4"
"","Bilal Coulibaly","Was","G","19.5","43","26.2","13.8","17.8","76","0.658","163","0.515","113","0.381","0.538","0.561","8.1","4","1.8","0.9","0.8","1.4","12.1","9.9","13.9","5.9","103.4","117.1"
"","Landry Shamet","Was","G","26.9","28","15.2","20.2","9","35","0.771","76","0.566","96","0.385","0.573","0.598","8","1.2","1.4","0.6","0.3","0.6","9.2","9.4","10.6","6.3","114.8","114.8"
"","Grant Williams","Dal","F","25.2","40","26.2","13.4","13.2","44","0.705","86","0.512","184","0.364","0.535","0.553","8","3.5","1.7","0.5","0.6","1","11.5","9.7","13.2","5.5","110.6","110.6"
"","Sam Hauser","Bos","F","26.1","44","21.6","13.9","7.3","13","0.846","40","0.65","239","0.406","0.615","0.622","8","3.6","1","0.4","0.3","0.5","11.6","9.1","12.6","5.7","124.5","109.1"
"","David Roddy","Mem","F","22.8","41","22.7","17.2","11.6","49","0.714","182","0.473","129","0.318","0.474","0.496","8","3.9","1.4","0.5","0.2","1","11.9","9.5","13.3","6.2","100.5","112"
"","Vince Williams Jr.","Mem","G","23.4","34","24.2","13.8","16.6","65","0.831","63","0.524","133","0.383","0.559","0.608","8","5.4","2.1","0.8","0.6","1.1","13.4","10.2","15.6","7.4","118.9","105.9"
"","Terry Rozier","Mia","G","29.9","2","29.1","18.9","12.3","2","1","12","0.333","9","0.222","0.333","0.366","8","3","4","1.5","0","1.5","11","12","15","6.3","87.2","110.5"
"","Al Horford","Bos","C-F","37.6","37","27","11","12","14","0.857","75","0.64","145","0.421","0.634","0.643","7.9","6.9","2.9","0.5","1","0.8","14.7","10.8","17.6","8","134.2","107.2"
"","Payton Pritchard","Bos","G","26","45","21.2","15.4","8","33","0.788","102","0.51","198","0.379","0.548","0.564","7.9","3.2","3","0.4","0.1","0.6","11.1","10.9","14.2","8","127.3","110.3"
"","Andre Drummond","Chi","C","30.5","46","15.9","21.8","16.8","123","0.553","255","0.557","2","0","0.553","0.566","7.7","8.4","0.6","1.2","0.6","1.1","16","8.2","16.6","8.5","115.1","99.3"
"","Kevin Knox II","Det","F","24.5","26","18.6","16.4","8.9","19","0.895","79","0.595","85","0.353","0.561","0.583","7.7","2.5","0.7","0.4","0.3","0.6","10.2","8.5","11","5.1","113.3","117.1"
"","Precious Achiuwa","Tor","F","24.4","25","17.5","21.3","14.6","42","0.571","123","0.528","47","0.277","0.497","0.512","7.7","5.4","1.8","0.6","0.5","1.2","13.2","9.5","14.9","9.6","106.6","108.4"
"","Naji Marshall","Nor","F","26","35","18.5","17.9","15.3","63","0.825","123","0.496","82","0.39","0.532","0.58","7.7","3.6","2","0.7","0.2","1.1","11.3","9.7","13.3","8.2","117","108.2"
"","Jaden Hardy","Dal","G","21.6","39","15.5","23.6","8.8","41","0.683","141","0.411","148","0.351","0.471","0.489","7.7","2.1","1.6","0.3","0.1","0.7","9.8","9.3","11.3","7.6","101.3","113.6"
"","Terance Mann","Lac","G-F","27.3","36","25.1","13.2","9.4","40","0.75","119","0.588","112","0.304","0.524","0.547","7.6","3.2","1.8","0.6","0.3","0.7","10.7","9.4","12.5","5.6","118.5","112.5"
"","Josh Green","Dal","G","23.2","31","26.1","12.6","13.8","32","0.563","94","0.543","100","0.38","0.557","0.562","7.5","3.1","2.5","0.7","0.2","1","10.7","10","13.2","5.9","113.5","114.4"
"","Ziaire Williams","Mem","F","22.4","42","18.7","20.2","15.1","59","0.831","145","0.448","147","0.313","0.459","0.498","7.5","3.4","1.3","0.6","0.2","1.2","10.9","8.9","12.3","6.9","96.6","107.7"
"","Day'Ron Sharpe","Bro","C","22.2","37","16","19.4","16.1","88","0.614","186","0.591","7","0.143","0.578","0.598","7.5","7","1.4","0.5","0.9","1","14.5","8.9","15.9","10.5","122.9","101.1"
"","GG Jackson","Mem","F","19.1","12","13.5","20.4","10.4","23","0.696","28","0.464","32","0.5","0.617","0.642","7.5","2.8","0.5","0.3","0.5","0.6","10.3","8","10.8","6.5","121","109"
"","Jae Crowder","Mil","F","33.6","13","23.3","11.9","10.1","14","0.571","22","0.5","49","0.449","0.62","0.622","7.4","3.3","1.3","0.7","0.2","0.6","10.7","8.7","12","5.4","120.9","113.7"
"","Cedi Osman","San","F","28.8","44","17.8","15.7","9.1","45","0.667","111","0.613","137","0.372","0.583","0.596","7.3","2.6","1.8","0.5","0.1","0.6","9.8","9","11.6","7.3","118","115.1"
"","Christian Braun","Den","G","22.8","46","19","17.1","11","80","0.725","189","0.492","86","0.36","0.507","0.543","7.3","3.5","1.5","0.4","0.4","0.7","10.9","8.8","12.3","7.1","111.9","110.2"
"","Christian Wood","Lal","F","28.3","40","18.5","17.1","17.4","80","0.688","118","0.593","95","0.326","0.547","0.58","7.2","5.5","1.1","0.3","0.8","1.1","12.7","8.3","13.8","7.6","106.9","107.3"
"","Dennis Smith Jr.","Bro","G","26.2","29","19.9","18.2","15.9","32","0.813","139","0.482","56","0.286","0.467","0.497","7.2","3.3","4","1.1","0.2","1.3","10.5","11.2","14.5","9.2","110.7","106.1"
"","Josh Hart","Nyk","G","28.9","44","28.1","12.1","15.4","36","0.806","164","0.524","121","0.314","0.502","0.524","7.2","6.5","2.7","0.8","0.3","1.2","13.6","9.8","16.3","7.1","111.7","107.5"
"","Gary Harris","Orl","G","29.4","27","22.8","12.7","8.3","31","0.774","46","0.652","108","0.333","0.545","0.573","7.1","1.7","1.9","0.9","0.2","0.5","8.8","9","10.7","5","121","109.6"
"","Trey Lyles","Sac","F","28.2","29","20.1","13.7","9.8","32","0.625","42","0.595","115","0.391","0.589","0.599","7.1","4.7","1.3","0.2","0.3","0.6","11.8","8.4","13.1","7","121.3","112.1"
"","Killian Hayes","Det","G","22.5","39","24.5","15","14.7","50","0.66","202","0.455","70","0.286","0.449","0.471","7.1","2.8","4.9","0.9","0.5","1.2","9.9","12.1","14.9","7.5","106.9","117.1"
"","Bones Hyland","Lac","G","23.4","16","14.6","24.7","15.7","12","0.833","52","0.423","55","0.364","0.486","0.508","7.1","0.9","1.8","0.5","0.1","1.3","8.1","8.9","9.8","6.2","98.2","110.1"
"","Marcus Sasser","Det","G","23.3","40","15.5","19.1","13.1","32","0.906","129","0.527","102","0.392","0.554","0.581","7.1","1.6","2.6","0.6","0.2","0.9","8.7","9.8","11.3","8","116.6","116.7"
"","Craig Porter","Cle","G","23.9","29","15.9","20.3","16.7","46","0.696","143","0.538","21","0.333","0.534","0.562","7.1","2.7","3.1","0.6","0.4","1.1","9.8","10.3","12.9","9.8","115.2","108.2"
"","Danilo Gallinari","Was","F","35.5","26","14.8","18.4","8.4","56","0.839","67","0.552","64","0.313","0.511","0.581","7","2.9","1.2","0.2","0.1","0.5","9.9","8.2","11.1","7.8","118.9","118"
"","Royce O'Neale","Bro","F","30.6","43","24.5","13.5","13.9","20","0.65","53","0.472","226","0.354","0.52","0.526","7","4.6","3","0.7","0.6","1","11.6","10","14.6","7.5","111.5","109.6"
"","Quentin Grimes","Nyk","G","23.7","42","19.8","14.8","7.5","24","0.75","64","0.484","195","0.369","0.537","0.549","7","1.8","1.1","0.7","0.1","0.5","8.9","8.2","10","4.9","115.2","109.3"
"","Jose Alvarado","Nor","G","25.8","27","16","19.3","11.6","31","0.645","69","0.435","91","0.396","0.525","0.541","7","2.1","1.8","0.9","0.4","0.8","9.1","8.7","10.9","7.4","110.6","107.1"
"","Noah Clowney","Bro","F","19.5","2","13.4","17.4","9.6","2","1","8","0.75","1","0","0.667","0.709","7","2.5","1","0","0","0.5","9.5","8","10.5","7.7","140.7","112.1"
"","Monte Morris","Det","G","28.6","1","11.4","14.8","0","0","0","3","0.667","1","1","0.875","0.875","7","3","3","0","0","0","10","10","13","14","185.8","123.7"
"","Goga Bitadze","Orl","C-F","24.5","39","20.7","12.7","14.7","68","0.676","169","0.639","10","0.2","0.62","0.641","6.9","6.4","1.7","0.7","1.6","0.8","13.3","8.6","14.9","8.2","131.7","101.8"
"","Trayce Jackson-Davis","Gol","F","23.9","31","14.5","17","14.8","59","0.576","132","0.682","0","0","0.682","0.677","6.9","4.4","1","0.4","0.9","0.7","11.3","7.9","12.3","8.6","130.3","108"
"","Robert Williams III","Por","C-F","26.3","6","19.8","13.1","21","9","0.778","26","0.654","0","0","0.654","0.684","6.8","6.3","0.8","1.2","1.2","1.2","13.2","7.7","14","6.6","121.6","101.7"
"","Peyton Watson","Den","G","21.4","44","17.5","16.5","9.8","61","0.705","149","0.55","91","0.33","0.529","0.557","6.8","2.7","1","0.5","0.9","0.6","9.4","7.7","10.4","6","112.1","109"
"","Cason Wallace","Okc","G","20.2","44","21.1","11.9","9.4","24","0.833","106","0.613","116","0.422","0.624","0.639","6.8","2.3","1.4","0.7","0.5","0.5","9","8.2","10.5","5.3","126.8","111.4"
"","Cody Martin","Cha","F","28.3","12","25.9","14.6","13.2","16","0.563","48","0.396","37","0.297","0.418","0.435","6.7","3.2","2.5","1.5","0.9","1.1","9.8","9.2","12.3","5.8","96.6","117.4"
"","Cam Reddish","Lal","F-G","24.4","35","23.3","13.5","12.7","46","0.783","110","0.464","95","0.337","0.483","0.519","6.7","2.4","1.3","1.2","0.3","0.9","9.1","8","10.4","4.7","102.4","111.2"
"","Isaiah Jackson","Ind","F","22","35","13.4","17.4","14.9","64","0.688","141","0.674","2","0","0.664","0.684","6.7","4","0.9","0.6","1.2","0.7","10.7","7.5","11.5","8.6","131.1","100.2"
"","Toumani Camara","Por","F","23.7","43","24.3","13.7","15.7","61","0.689","149","0.503","114","0.281","0.468","0.497","6.7","4.9","1","1","0.5","1.1","11.6","7.7","12.5","5.3","101.9","109.7"
"","Isaiah Hartenstein","Nyk","C-F","25.7","43","25.6","10.5","21.6","85","0.694","182","0.61","3","0.333","0.608","0.638","6.6","8.5","2","1.2","1.1","1.2","15.1","8.6","17","7.5","129.1","100.5"
"","Aaron Holiday","Hou","G","27.3","41","17.1","16","11.8","34","0.912","97","0.495","119","0.403","0.556","0.587","6.6","1.9","1.6","0.6","0.1","0.7","8.5","8.2","10.1","6.4","115.6","108.9"
"","Nickeil Alexander-Walker","Min","F","25.4","45","22.5","13.2","14.3","29","0.69","83","0.554","168","0.369","0.554","0.565","6.6","1.8","2.5","0.9","0.6","0.9","8.4","9.1","10.9","5.5","112.9","105.7"
"","Jeff Green","Hou","F","37.4","41","16.9","14.8","14.2","91","0.824","117","0.615","52","0.308","0.568","0.639","6.5","2.1","0.8","0.2","0.5","0.7","8.6","7.3","9.4","5.3","123","110.3"
"","Cameron Payne","Mil","G","29.5","40","15.2","16.5","13.1","38","0.895","78","0.577","114","0.395","0.586","0.62","6.5","1.2","2.3","0.4","0.1","0.7","7.7","8.8","10","6.9","123.6","111.2"
"","Ben Simmons","Bro","G","27.5","6","31.8","11.8","29.3","4","0.25","36","0.528","0","0","0.528","0.516","6.5","10.8","6.7","0.5","0.8","2.5","17.3","13.2","24","9.8","111.2","108.9"
"","Daniel Theis","Lac","F-C","31.8","31","17.2","15.8","11.9","38","0.737","124","0.548","31","0.419","0.565","0.591","6.5","3.7","0.9","0.5","0.9","0.7","10.2","7.5","11.1","6.5","122.7","103.9"
"","Kyle Anderson","Min","F-G","30.3","45","22.5","14.6","20.2","88","0.693","208","0.505","29","0.172","0.475","0.519","6.4","3.5","4","0.8","0.6","1.3","9.9","10.4","13.9","8","111.6","105.4"
"","Nick Smith Jr.","Cha","G","19.8","27","15.1","19.5","13.2","4","0.75","80","0.388","78","0.462","0.538","0.541","6.4","1.6","1.1","0.1","0.3","0.9","8","7.5","9.1","5.9","102.5","120.4"
"","Nicolas Batum","Phi","G-F","35.1","29","25.6","8.4","13.5","14","0.643","35","0.714","86","0.477","0.715","0.716","6.3","4","2.4","0.7","0.7","0.7","10.3","8.7","12.7","6.1","142.3","109.4"
"","Marcus Morris Sr.","Phi","F","34.4","33","16.3","15.3","7.2","32","0.844","90","0.467","77","0.416","0.539","0.572","6.3","2.9","0.7","0.3","0.3","0.4","9.2","7","9.8","5.7","117.6","106"
"","Skylar Mays","Por","G","26.4","21","17","19.4","11.5","17","0.765","89","0.438","49","0.286","0.435","0.457","6.3","1.8","3.6","0.7","0.1","0.9","8.1","9.9","11.7","8.1","106.7","117.1"
"","Amen Thompson","Hou","G-F","21","24","16.3","19.1","17.6","44","0.682","96","0.563","30","0.133","0.476","0.516","6.3","4.1","2","0.9","0.3","1.1","10.3","8.2","12.3","9.1","105.2","101.1"
"","Doug McDermott","San","F","32.1","39","15.5","14.9","11","15","0.667","38","0.447","147","0.449","0.627","0.632","6.2","1.1","1.3","0.3","0.1","0.6","7.3","7.5","8.6","5.3","116.2","119.4"
"","Jonathan Isaac","Orl","F","26.3","26","13.6","18.7","8.9","42","0.786","70","0.586","53","0.283","0.516","0.565","6.2","3.9","0.4","0.8","1","0.5","10.1","6.6","10.5","6.3","117.2","102.7"
"","Mitchell Robinson","Nyk","C","25.8","21","29.2","9.4","18.3","38","0.368","98","0.592","0","0","0.592","0.567","6.2","10.3","0.7","1.5","1.3","1","16.5","6.9","17.2","4.9","123.7","106.4"
"","Haywood Highsmith","Mia","F","27.1","31","21.5","12.6","12.2","23","0.783","65","0.477","93","0.398","0.547","0.568","6.2","2.9","1.2","1","0.5","0.7","9.1","7.4","10.3","5.2","112.7","107.3"
"","Julian Champagnie","San","F","22.6","37","15.6","15.8","12.8","34","0.882","45","0.444","132","0.402","0.562","0.596","6.2","2.2","1","0.6","0.5","0.7","8.4","7.2","9.4","6.1","111.1","116"
"","Chris Boucher","Tor","F-C","31","41","14.2","17.1","9.5","72","0.75","100","0.58","81","0.333","0.544","0.59","6.1","4","0.4","0.3","0.5","0.5","10.2","6.6","10.6","6","120.4","108.4"
